onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0205070972443	1	heat	48	1	1	Patch4	te-40	2542.1	53
32.340460062027	1	heat	48	2	1	Patch4	te-40	3774.1	53
46.145280122757	1	heat	48	3	1	Patch4	te-40	5154.6	53
61.0012979507446	1	heat	48	4	1	Patch4	te-40	6640.2	53
72.4841730594635	1	heat	48	5	1	Patch4	te-40	7788.5	53
87.130096912384	1	heat	48	6	1	Patch4	te-40	9253.0	53
98.815052986145	1	heat	48	7	1	Patch4	te-40	10421.5	53
112.199995994568	1	heat	48	8	1	Patch4	te-40	11760.0	53
124.313147068024	1	heat	48	9	1	Patch4	te-40	12971.4	53
137.267149925232	1	heat	48	10	1	Patch4	te-40	14266.8	53
148.32910490036	1	heat	48	11	1	Patch4	te-40	15372.9	53
163.395148992538	1	heat	48	12	1	Patch4	te-40	16879.6	53
177.41005396843	1	heat	48	13	1	Patch4	te-40	18281.0	53
191.003029108047	1	heat	48	14	1	Patch4	te-40	19640.3	53
202.275249958038	1	heat	48	15	1	Patch4	te-40	20767.6	53
216.710813045502	1	heat	48	16	1	Patch4	te-40	22211.1	53
230.936352014542	1	heat	48	17	1	Patch4	te-40	23633.7	53
242.839595079422	1	heat	48	18	1	Patch4	te-40	24824.0	53
256.014001131058	1	heat	48	19	1	Patch4	te-40	26141.4	53
268.75772690773	1	heat	48	20	1	Patch4	te-40	27415.8	53
