onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0143730640411	1	heat	48	1	0	Patch1	te-50	2541.5	55
32.3374779224396	1	heat	48	2	0	Patch1	te-50	3773.8	55
46.1427519321442	1	heat	48	3	0	Patch1	te-50	5154.3	55
60.9986808300018	1	heat	48	4	0	Patch1	te-50	6639.9	55
72.4812068939209	1	heat	48	5	0	Patch1	te-50	7788.2	55
87.1266670227051	1	heat	48	6	0	Patch1	te-50	9252.7	55
98.8192439079285	1	heat	48	7	0	Patch1	te-50	10422.0	55
112.203440904617	1	heat	48	8	0	Patch1	te-50	11760.4	55
124.31640791893	1	heat	48	9	0	Patch1	te-50	12971.7	55
137.259569883347	1	heat	48	10	0	Patch1	te-50	14266.0	55
148.321658849716	1	heat	48	11	0	Patch1	te-50	15372.2	55
163.38812494278	1	heat	48	12	0	Patch1	te-50	16878.8	55
177.402971982956	1	heat	48	13	0	Patch1	te-50	18280.3	55
190.99756193161	1	heat	48	14	0	Patch1	te-50	19639.8	55
202.269858837128	1	heat	48	15	0	Patch1	te-50	20767.0	55
216.705227851868	1	heat	48	16	0	Patch1	te-50	22210.5	55
230.930922031403	1	heat	48	17	0	Patch1	te-50	23633.1	55
242.834059000015	1	heat	48	18	0	Patch1	te-50	24823.4	55
256.00884604454	1	heat	48	19	0	Patch1	te-50	26140.9	55
268.752701044083	1	heat	48	20	0	Patch1	te-50	27415.3	55
