onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0203869342804	1	heat	48	1	0	Patch5	te-30	2542.0	51
31.7047259807587	1	heat	48	2	0	Patch5	te-30	3710.5	51
44.8789219856262	1	heat	48	3	0	Patch5	te-30	5027.9	51
59.7355678081512	1	heat	48	4	0	Patch5	te-30	6513.6	51
71.2178688049316	1	heat	48	5	0	Patch5	te-30	7661.8	51
85.2330620288849	1	heat	48	6	0	Patch5	te-30	9063.3	51
96.2950239181519	1	heat	48	7	0	Patch5	te-30	10169.5	51
107.567390918732	1	heat	48	8	0	Patch5	te-30	11296.7	51
120.521853923798	1	heat	48	9	0	Patch5	te-30	12592.2	51
132.845186948776	1	heat	48	10	0	Patch5	te-30	13824.5	51
146.650020837784	1	heat	48	11	0	Patch5	te-30	15205.0	51
160.034274816513	1	heat	48	12	0	Patch5	te-30	16543.4	51
174.469786882401	1	heat	48	13	0	Patch5	te-30	17987.0	51
189.535727024078	1	heat	48	14	0	Patch5	te-30	19493.6	51
201.648669958115	1	heat	48	15	0	Patch5	te-30	20704.9	51
215.873703956604	1	heat	48	16	0	Patch5	te-30	22127.4	51
230.519548892975	1	heat	48	17	0	Patch5	te-30	23591.9	51
244.114071846008	1	heat	48	18	0	Patch5	te-30	24951.4	51
256.016956806183	1	heat	48	19	0	Patch5	te-30	26141.7	51
268.550249814987	1	heat	48	20	0	Patch5	te-30	27395.0	51
