onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0160820484161	1	heat	48	1	0	Patch1	te-55	2541.6	53
31.7095010280609	1	heat	48	2	0	Patch1	te-55	3710.9	53
44.8835430145264	1	heat	48	3	0	Patch1	te-55	5028.3	53
59.7395629882812	1	heat	48	4	0	Patch1	te-55	6513.9	53
71.2220230102539	1	heat	48	5	0	Patch1	te-55	7662.2	53
85.2369210720062	1	heat	48	6	0	Patch1	te-55	9063.7	53
96.2988040447235	1	heat	48	7	0	Patch1	te-55	10169.9	53
107.570811986923	1	heat	48	8	0	Patch1	te-55	11297.1	53
120.524636030197	1	heat	48	9	0	Patch1	te-55	12592.4	53
132.83615899086	1	heat	48	10	0	Patch1	te-55	13823.6	53
146.640705108643	1	heat	48	11	0	Patch1	te-55	15204.0	53
160.025197029114	1	heat	48	12	0	Patch1	te-55	16542.5	53
174.460877180099	1	heat	48	13	0	Patch1	te-55	17986.1	53
189.526875019073	1	heat	48	14	0	Patch1	te-55	19492.7	53
201.639852046967	1	heat	48	15	0	Patch1	te-55	20704.0	53
215.865463972092	1	heat	48	16	0	Patch1	te-55	22126.5	53
230.511025190353	1	heat	48	17	0	Patch1	te-55	23591.1	53
244.106310129166	1	heat	48	18	0	Patch1	te-55	24950.6	53
256.00918507576	1	heat	48	19	0	Patch1	te-55	26140.9	53
268.542822122574	1	heat	48	20	0	Patch1	te-55	27394.2	53
