participant_id	age	sex
sub-001	20	F
sub-002	19	F
sub-003	22	M
sub-004	34	F
sub-005	26	M
sub-006	21	F
sub-007	26	M
sub-008	29	M
sub-009	19	F
sub-010	20	M
sub-011	19	M
sub-012	22	M
sub-013	24	F
sub-014	20	M
sub-017	20	M
sub-018	19	F
sub-019	20	F
sub-020	19	M
sub-021	20	F
sub-022	21	F
