onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.024125400057528	7.0	instruction	n/a	n/a	n/a
27.51289870002074	2.2	neg	Avoid	Avoid	0.816661499964539
36.22963870002423	2.2	pos	Approach	Approach	0.616723200015258
42.94648640003288	2.2	neg	Avoid	Avoid	0.8165482000331394
49.64666710002325	2.2	pos	Approach	Approach	0.7831638000207022
56.34685670002386	2.2	pos	Approach	Approach	0.9165575000224636
63.04685050004605	2.2	neg	Avoid	Avoid	0.6332909999764524
73.76355460000946	2.2	pos	Approach	Approach	1.2833780000219122
82.46364210004685	2.2	neg	Avoid	Avoid	0.5836861000279896
91.18066220002925	2.2	pos	Approach	Approach	0.7831558000179939
101.91444730001967	2.2	pos	Approach	Approach	0.7671638999599963
110.64808790001553	2.2	neg	Avoid	Avoid	0.5832854000036605
117.34821960004048	2.2	neg	Avoid	Avoid	1.000353500014171
123.55066430004103	7.0	instruction	n/a	n/a	n/a
131.0655323000392	2.2	neg	Approach	Approach	0.7834246999700554
137.78185830003326	2.2	neg	Approach	Approach	0.6833593999617733
148.51559330004966	2.2	neg	Approach	Approach	1.2666838000295684
157.24899700004607	2.2	pos	Avoid	Avoid	0.5332748999935575
163.96554200001992	2.2	pos	Avoid	Avoid	0.6831039999960922
172.6826882000314	2.2	neg	Approach	Avoid	1.1668532000039704
181.38300100003835	2.2	pos	Avoid	Avoid	1.166890099993907
188.1163505000295	2.2	pos	Avoid	Approach	1.0835787000251005
196.84971970005404	2.2	neg	Approach	Avoid	1.116476199997123
203.54981310002063	2.2	neg	Approach	Approach	1.199833500024397
210.2499581000302	2.2	pos	Avoid	Avoid	1.1168538000201806
216.95011280005565	2.2	pos	Avoid	Avoid	1.4168707000208087
