onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.02101710002171	7.0	instruction	n/a	n/a	n/a
27.512908499978494	2.2	neg	Avoid	Avoid	0.7833265000372194
36.21264580002753	2.2	pos	Approach	Approach	0.6840638000285253
42.92990099999588	2.2	neg	Avoid	Avoid	0.5831002000486478
49.663585499977216	2.2	pos	Approach	Approach	0.949858999985736
56.396870900003705	2.2	pos	Approach	Approach	0.7335505000082776
63.09719130001031	2.2	neg	Avoid	Avoid	0.7997734999516979
73.79714290000265	2.2	pos	Approach	Approach	0.7333130000042729
82.49773920001462	2.2	neg	Avoid	Avoid	0.5667275000014342
91.19776619999902	2.2	pos	Approach	Approach	0.7166977999731898
101.8980665000272	2.2	pos	Approach	Approach	0.6167340000392869
110.5982767000096	2.2	neg	Avoid	Avoid	0.6169861999806017
117.31474200001684	2.2	neg	Avoid	Avoid	0.6996292999829166
123.51814729999752	7.0	instruction	n/a	n/a	n/a
131.03212539997185	2.2	neg	Approach	Approach	0.5165322999819182
137.7320749000064	2.2	neg	Approach	NoMove	0.9335427000187336
148.43196939997142	2.2	neg	Approach	Approach	0.8831839999766089
157.14919989998452	2.2	pos	Avoid	Avoid	0.9670794000267052
163.8492371999896	2.2	pos	Avoid	Avoid	0.6666981000453234
172.54928929999005	2.2	neg	Approach	Approach	0.6834012000472285
181.24931109999352	2.2	pos	Avoid	Avoid	1.2164046000107192
187.98315109999385	2.2	pos	Avoid	Avoid	1.1335818999796174
196.6997105000192	2.2	neg	Approach	NoMove	0.8005556000280194
203.4168419999769	2.2	neg	Approach	Approach	1.1164957000291906
210.11701460002223	2.2	pos	Avoid	Avoid	1.1497646999778226
216.8336069000065	2.2	pos	Avoid	Avoid	1.133500299998559
