onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.019727100036107	7.0	instruction	n/a	n/a	n/a
27.5431910000043	2.2	neg	Avoid	Avoid	0.7667657000129111
36.27679380000336	2.2	pos	Approach	Approach	0.9498462000046856
42.97691040002974	2.2	neg	Avoid	Avoid	0.7002230000216514
49.69370689999778	2.2	pos	Approach	Approach	0.933374999964144
56.393942900002	2.2	pos	Approach	Approach	0.7832074999460019
63.110532200022135	2.2	neg	Avoid	Avoid	0.8165911000105552
73.810694099986	2.2	pos	Approach	Approach	1.0001445999951102
82.51090520003345	2.2	neg	Avoid	Avoid	0.7832988000009209
91.21132629999192	2.2	pos	Approach	Approach	0.6167397000244819
101.91170350002358	2.2	pos	Approach	Approach	0.9833512000041084
110.61160300002666	2.2	neg	Avoid	Avoid	0.9662667000084184
117.3120386999799	2.2	neg	Avoid	Avoid	1.133203000004869
123.51440879999429	7.0	instruction	n/a	n/a	n/a
131.02864040003624	2.2	neg	Approach	Approach	0.6831416999921203
137.728909700003	2.2	neg	Approach	Approach	0.7665070000221021
148.42893120000372	2.2	neg	Approach	Avoid	1.2165586999617517
157.12896370003	2.2	pos	Avoid	Avoid	1.166567699983716
163.82980589999352	2.2	pos	Avoid	Avoid	0.9166457999963312
172.56328659999417	2.2	neg	Approach	Approach	0.7497645999537781
181.26344880001847	2.2	pos	Avoid	NoMove	0.950154600024689
188.0135803000303	2.2	pos	Avoid	Avoid	1.2167744999751449
196.73075290001	2.2	neg	Approach	Approach	0.7332553999731317
203.4303921000103	2.2	neg	Approach	NoMove	0.8830873999977484
210.1306083999807	2.2	pos	Avoid	Avoid	1.3671129000140354
216.8303740000115	2.2	pos	Avoid	Avoid	0.9001368999597616
