onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.012508899962995	7.0	instruction	n/a	n/a	n/a
27.536916599958204	2.2	neg	Avoid	Avoid	1.116865800053347
36.23686799994903	2.2	pos	Approach	Approach	0.9500309000140988
42.95359319995623	2.2	neg	Avoid	Avoid	1.3331377999857068
49.65400249999948	2.2	pos	Approach	Approach	0.8164451000047848
56.35432939999737	2.2	pos	Approach	Approach	1.3500630000489764
63.05422499997076	2.2	neg	Avoid	Avoid	0.8165484999772161
73.77090509998379	2.2	pos	Approach	Approach	0.8999859999748878
82.48777859995607	2.2	neg	Avoid	Avoid	0.9165730999666266
91.18812479998452	2.2	pos	Approach	Approach	0.8833169999998063
101.88829429994804	2.2	pos	Approach	Approach	1.099947199982125
110.5882812999771	2.2	neg	Avoid	Avoid	0.8330337000079453
117.288424999977	2.2	neg	Avoid	Avoid	0.9166068999911658
123.49196149996716	7.0	instruction	n/a	n/a	n/a
131.00571619998664	2.2	neg	Approach	Approach	0.9668381999945268
137.70589099999052	2.2	neg	Approach	Approach	0.883284299983643
148.4061126000015	2.2	neg	Approach	Approach	1.6835090999957174
157.1398275999818	2.2	pos	Avoid	Avoid	0.7500012000091374
163.87326799996663	2.2	pos	Avoid	Avoid	1.0004700999706984
172.58973059995333	2.2	neg	Approach	Approach	0.7830675999866799
181.2903867999557	2.2	pos	Avoid	Avoid	1.1331133000203408
188.00697589997435	2.2	pos	Avoid	Avoid	0.849965900008101
196.70725029998	2.2	neg	Approach	Approach	0.8668962999945506
203.40700629999628	2.2	neg	Approach	Approach	1.0997856000321915
210.1073925999808	2.2	pos	Avoid	Avoid	0.7164947999990545
216.8409918999532	2.2	pos	Avoid	Avoid	0.7341461000032723
