onset	duration	trial_type	ActionGoal	RealAction	joystick_RTcal
20.02036429999873	7.0	instruction	n/a	n/a	n/a
27.54070519999373	2.2	neg	Avoid	Avoid	1.1165905999951065
36.240789500007	2.2	pos	Approach	Approach	0.783312699990347
42.94111790001631	2.2	neg	Avoid	Avoid	0.8833326000021771
49.65759830002213	2.2	pos	Approach	Approach	1.267080800025724
56.39141719997866	2.2	pos	Approach	Approach	1.6501317000365816
63.10821219999349	2.2	neg	Avoid	Avoid	0.7168333000154234
73.82512459997093	2.2	pos	Approach	Approach	0.7499597999849357
82.52481979999004	2.2	neg	Avoid	Avoid	1.0997039999929257
91.242205800023	2.2	pos	Approach	Approach	0.5831869000103325
101.95908729999805	2.2	pos	Approach	Avoid	0.7159884000429884
110.65919490001404	2.2	neg	Avoid	Avoid	0.9999620000016876
117.35926300002036	2.2	neg	Avoid	Avoid	1.1999263999750838
123.56152849999496	7.0	instruction	n/a	n/a	n/a
131.0759997999995	2.2	neg	Approach	Approach	1.1164344999706373
137.7766337000067	2.2	neg	Approach	Approach	1.4499341000337154
148.50966370000975	2.2	neg	Approach	Approach	1.2664815000025555
157.2269699000172	2.2	pos	Avoid	Avoid	0.6166940000257455
163.94374519999843	2.2	pos	Avoid	Avoid	1.033115500002168
172.64406969997805	2.2	neg	Approach	Approach	0.9833584000007248
181.36061789997623	2.2	pos	Avoid	Avoid	0.7333613999653608
188.07744219998136	2.2	pos	Avoid	Avoid	0.783328799996525
196.8109825999709	2.2	neg	Approach	Avoid	0.8500454000313766
203.52790370001463	2.2	neg	Approach	Approach	0.9000251000397839
210.2280019000173	2.2	pos	Avoid	Avoid	0.8998218000051565
216.928200000024	2.2	pos	Avoid	Avoid	1.133465700026136
