onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
12.3585	0.125	1st/repetition	12	24717	20.0	CHOICE_B	1.0	11.1028	3.6617	L	n/a	29	73	1	2	0.125	55.0	es01	detection	1	12	12	20	30	0	n/a	n/a	es01_0023.txt	1.0	1	0
13.3585	0.125	2nd/repetition	22	26717	20.0	CHOICE_B	1.0	11.1028	3.6617	L	n/a	29	73	1	2	0.125	55.0	es01	detection	1	12	12	20	30	0	n/a	n/a	es01_0023.txt	1.0	2	0
27.087	0.125	1st/repetition	12	54174	20.0	CHOICE_B	1.0	10.2019	3.2378	L	n/a	29	73	1	2	0.125	55.0	es01	detection	2	36	36	20	30	0	2.0	0.3838139724731445	es01_0023.txt	1.0	1	0
28.087	0.125	2nd/repetition	22	56174	20.0	CHOICE_B	1.0	10.2019	3.2378	L	n/a	29	73	1	2	0.125	55.0	es01	detection	2	36	36	20	30	0	2.0	0.3838139724731445	es01_0023.txt	1.0	2	0
40.4255	0.125	1st/omission	11	80851	20.0	CHOICE_B	1.0	8.818999999999999	2.8418	L	n/a	29	73	0	2	0.125	55.0	es01	detection	3	12	12	0	10	0	1.0	0.3389319133758545	es01_0023.txt	1.0	1	0
41.4255	0.125	2nd/omission	21	82851	20.0	CHOICE_B	1.0	8.818999999999999	2.8418	L	n/a	29	73	0	2	0.125	55.0	es01	detection	3	12	12	0	10	0	1.0	0.3389319133758545	es01_0023.txt	1.0	2	0
54.3765	0.125	1st/omission	11	108753	20.0	CHOICE_B	1.0	9.1988	3.5787	L	n/a	29	73	0	2	0.125	55.0	es01	detection	4	36	36	0	10	0	1.0	0.3298538875579834	es01_0023.txt	1.0	1	0
55.3765	0.125	2nd/omission	21	110753	20.0	CHOICE_B	1.0	9.1988	3.5787	L	n/a	29	73	0	2	0.125	55.0	es01	detection	4	36	36	0	10	0	1.0	0.3298538875579834	es01_0023.txt	1.0	2	0
69.065	0.125	1st/omission	11	138130	20.0	CHOICE_B	1.0	9.9362	5.281000000000001	L	n/a	29	73	0	2	0.125	55.0	es01	detection	5	48	48	40	50	0	1.0	1.1385570716857911	es01_0023.txt	1.0	1	0
70.065	0.125	2nd/omission	21	140130	20.0	CHOICE_B	1.0	9.9362	5.281000000000001	L	n/a	29	73	0	2	0.125	55.0	es01	detection	5	48	48	40	50	0	1.0	1.1385570716857911	es01_0023.txt	1.0	2	0
84.4615	0.125	1st/repetition	12	168923	20.0	CHOICE_B	1.0	10.6447	2.4459	L	n/a	29	73	1	2	0.125	55.0	es01	detection	6	12	12	40	50	0	2.0	0.5429588508605957	es01_0023.txt	1.0	1	0
85.4615	0.125	2nd/repetition	22	170923	20.0	CHOICE_B	1.0	10.6447	2.4459	L	n/a	29	73	1	2	0.125	55.0	es01	detection	6	12	12	40	50	0	2.0	0.5429588508605957	es01_0023.txt	1.0	2	0
97.0625	0.125	1st/repetition	12	194125	20.0	CHOICE_B	1.0	8.0814	2.3223	L	n/a	29	73	1	2	0.125	55.0	es01	detection	7	12	12	0	10	0	2.0	0.4967640590667724	es01_0023.txt	1.0	1	0
98.0625	0.125	2nd/repetition	22	196125	20.0	CHOICE_B	1.0	8.0814	2.3223	L	n/a	29	73	1	2	0.125	55.0	es01	detection	7	12	12	0	10	0	2.0	0.4967640590667724	es01_0023.txt	1.0	2	0
113.15	0.125	1st/repetition	12	226300	20.0	CHOICE_B	1.0	11.5688	2.0578	L	n/a	29	73	1	2	0.125	55.0	es01	detection	8	36	36	20	30	0	2.0	1.7106829833984376	es01_0023.txt	1.0	1	0
114.15	0.125	2nd/repetition	22	228300	20.0	CHOICE_B	1.0	11.5688	2.0578	L	n/a	29	73	1	2	0.125	55.0	es01	detection	8	36	36	20	30	0	2.0	1.7106829833984376	es01_0023.txt	1.0	2	0
128.6535	0.125	1st/omission	11	257307	20.0	CHOICE_B	1.0	10.9836	2.3669	L	n/a	29	73	0	2	0.125	55.0	es01	detection	9	12	12	20	30	0	1.0	0.8526538562774658	es01_0023.txt	1.0	1	0
129.6535	0.125	2nd/omission	21	259307	20.0	CHOICE_B	1.0	10.9836	2.3669	L	n/a	29	73	0	2	0.125	55.0	es01	detection	9	12	12	20	30	0	1.0	0.8526538562774658	es01_0023.txt	1.0	2	0
143.4845	0.125	1st/repetition	12	286969	20.0	CHOICE_B	1.0	10.0781	5.2353	L	n/a	29	73	1	2	0.125	55.0	es01	detection	10	48	48	20	30	0	1.0	1.0145081233978273	es01_0023.txt	1.0	1	0
