onset	duration	trial_type	value	sample	Baseline_temp	Cond_Block	ISI	ITI_pre	Mov_start	Pos_Block	RatingExp	RatingS1	RatingS2	Rep	Run	Stim_dur	Stim_temp	Subject	Task	Trial	X1	X2	Y1	Y2	aborted	decision	decisionRT	file	Lasershot	StimNr	invalid_trials
27.601	0.125	1st/repetition/expected	121	55202	20.0	HIGH_D	1.0	10.9253	5.5516	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	1	12	12	20	30	0	n/a	n/a	es01_0017.txt	1.0	1	0
28.6005	0.125	2nd/repetition/expected	221	57201	20.0	HIGH_D	1.0	10.9253	5.5516	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	1	12	12	20	30	0	n/a	n/a	es01_0017.txt	1.0	2	0
39.9675	0.125	1st/repetition/expected	121	79935	20.0	HIGH_D	1.0	11.3602	6.2296	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	2	36	36	20	30	0	n/a	n/a	es01_0017.txt	1.0	1	0
40.9675	0.125	2nd/repetition/expected	221	81935	20.0	HIGH_D	1.0	11.3602	6.2296	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	2	36	36	20	30	0	n/a	n/a	es01_0017.txt	1.0	2	0
51.357	0.125	1st/repetition/expected	121	102714	20.0	HIGH_D	1.0	10.377	3.6373	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	3	0	0	40	50	0	n/a	n/a	es01_0017.txt	1.0	1	0
52.357	0.125	2nd/repetition/expected	221	104714	20.0	HIGH_D	1.0	10.377	3.6373	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	3	0	0	40	50	0	n/a	n/a	es01_0017.txt	1.0	2	0
63.099	0.125	Abort	99	126198	20.0	HIGH_D	1.0	10.728	3.2534	I	75.0	69	99	0	5	0.125	55.0	es01	expsupp	4	0	0	0	10	-99	n/a	n/a	n/a	-99.0	1	0
77.472	0.125	1st/repetition/expected	121	154944	20.0	HIGH_D	1.0	10.8433	3.6368	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	5	24	24	20	30	0	n/a	n/a	es01_0018.txt	1.0	1	0
78.472	0.125	2nd/repetition/expected	221	156944	20.0	HIGH_D	1.0	10.8433	3.6368	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	5	24	24	20	30	0	n/a	n/a	es01_0018.txt	1.0	2	0
87.187	0.125	1st/repetition/expected	121	174374	20.0	HIGH_D	1.0	8.7024	3.7546	I	75.0	69	99	1	5	0.125	55.0	es01	expsupp	6	48	48	0	10	0	n/a	n/a	es01_0018.txt	1.0	1	0
