participant_id	sex	age
sub-SBJ01	F	27
sub-SBJ02	F	38
sub-SBJ03	M	22
sub-SBJ04	F	24
sub-SBJ06	M	29
sub-SBJ07	F	26
sub-SBJ08	F	23
sub-SBJ09	M	31
sub-SBJ10	F	24
sub-SBJ12	M	23
sub-SBJ13	M	39
sub-SBJ14	F	29
sub-SBJ15	M	36
sub-SBJ16	F	31
sub-SBJ17	F	25
sub-SBJ18	F	22
sub-SBJ19	F	23
sub-SBJ20	M	23
